genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-175	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__A;f;g__2-12-FULL-67-15;g;s__;s									Yes	Yes		2.773498	27.973091	6.278317	4.240737	7.392346	0.750664	1.350802	7.464898	9.160906	1.61869	0.951359	0.798212	5.606504	Cd	3.443890624	0.028799641
MAG-176	p__Proteobacteria;c__Alphaproteobacteria;o__Bin95;f__;g__;s__									Yes	Yes	Yes	0.558192	10.147012	18.456048	21.108189	13.616094	0.462041	1.209414	6.328099	11.897232	0.342069	0.508897	0.474775	4.462506	CK	3.370519454	0.011299013
MAG-177	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__;s__										Yes		0.095157	0.121767	9.204142	27.15824	5.434277	0.057543	0.240525	0.650896	0.057705	0.015078	0.059184	0.04197	1.622274	CK	3.24012232	0.011768362
MAG-178	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__			Yes		Yes				Yes	Yes	Yes	4.749424	0.323362	0.578663	0.761478	0.632997	0.492769	0.353792	0.37608	0.382995	40.269359	0.488397	0.911769	0.254025			-
MAG-179	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__UBA8649;g__;s__							Yes					121.730427	7.292824	1.54306	5.01179	2.322768	0.017595	4.529032	5.835421	0.086674	0.468043	0.076685	0.010155	6.258306	Ni	3.802927434	0.019089954
MAG-18	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__;s__				Yes		Yes	Yes			Yes		0.845732	1.044596	37.862535	70.339116	24.386413	0.725057	1.652808	5.386998	1.484425	0.934455	1.182181	1.994225	0.289745			-
MAG-180	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__				Yes		Yes	Yes		Yes	Yes	Yes	11.731924	6.412797	6.171663	8.8333925	7.278707	99.813736	22.223537	5.911868	4.846838	4.314792	81.014706	27.196383	2.183044			-
MAG-181	p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	Yes	Yes					Yes		Yes	Yes		1.22746	0.265959	0.985665	1.730836	1.339191	18.606464	0.540772	0.261489	0.778964	2.330858	42.54605	13.787685	1.183399			-
MAG-182	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__UKL13-2;g__UKL13-2;s__				Yes		Yes	Yes		Yes	Yes	Yes	1.165933	3.857418	5.457517	4.180712	4.217676	6.858077	2.074243	4.197858	3.465999	0.899998	10.914154	1.912596	2.866084	Cr	3.068717168	0.024072761
MAG-183	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__;s__									Yes	Yes		0.262815	14.831133	0.665701	0.402367	0.822523	20.571964	0.081215	4.563414	4.684512	5.627622	27.317507	32.504141	0.339346	Cr	3.474996089	0.013139656
MAG-184	p__Planctomycetes;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__									Yes	Yes		0.066874	1.09215	3.246962	2.101963	2.601828	1.213778	0.825412	10.84001	0	0	2.084776	0.792709	0.796415			-
MAG-185	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__UBA2791;s__									Yes	Yes		0	0	0.237287	0.13402	0.215457	0.737699	0	0	0.167561	24.025921	3.128765	2.388541	0			-
MAG-186	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__;s__									Yes	Yes	Yes	0.921536	2.212471	7.146328	7.047018	5.623747	0.746312	2.219737	3.971421	1.744745	0.598191	0.546727	0.414486	4.326702	CK	3.120364709	0.006238434
MAG-187	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__UBA2791;s__									Yes	Yes		0	6.021618	1.31415	0.318069	1.218945	0.135154	0	3.175111	5.665439	0	0.137324	0	0.265446	Cd	3.185033008	0.003315564
MAG-188	p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__							Yes		Yes	Yes		0.782399	4.2981685	11.6894695	5.991298	7.727594	12.588465	0	12.981487	0.91148	0.057069	15.712431	16.590561	18.895738	Cr	3.416162511	0.046582455
MAG-189	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__				Yes		Yes	Yes		Yes	Yes	Yes	81.357798	7.819911	5.424275	5.503299	6.110175	4.808057	55.503091	6.939217	56.288286	61.243646	3.405128	7.384121	9.590185	Ni	4.102181403	0.00764976
MAG-19	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__SWB02;s__					Yes				Yes	Yes		0.835869	7.812565	1.159463	1.742579	1.162396	0.619606	0.386621	5.300752	4.711299	0.493657	0.603602	0.611746	18.075041			-
MAG-190	p__Proteobacteria;c__Deltaproteobacteria;o__Nannocystineae;f__Nannocystaceae;g__Nannocystis;s__									Yes	Yes		0.219996	0.34761	36.150616	24.412028	106.426176	182.940272	4.317059	8.267331	0.121852	0.116671	6.603812	0.130731	0.72516			-
MAG-191	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Fuerstia;s__			Yes		Yes				Yes	Yes	Yes	0	0	0.2559	0.592986	0.641054	12.986407	0	0	0	0	12.116035	6.210228	0	Cr	3.266018996	0.023942071
MAG-192	p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__Candidatus Competibacter;s__					Yes		Yes		Yes	Yes	Yes	1.068161	2.736039	151.145929	35.883563	138.778039	3.395333	2.345647	28.773119	1.639525	0.558672	4.548392	2.003159	1.715864			-
MAG-193	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__										Yes		3.815225	7.145668	7.608137	20.170693	14.659933	0.357677	86.448618	17.32286	6.216641	1.061127	0.20592	0.060559	0.792668	Ni	3.783402075	0.032996096
MAG-194	p__Nitrospirae;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__Nitrospira sp. 002254365	Yes	Yes	Yes						Yes	Yes		12.265174	48.080789	30.9045635	13.474125	28.673638	0.064148	7.386076	44.315126	51.400805	2.897363	0.162897	0	8.029048	Cd	3.870614738	0.009223744
MAG-195	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__			Yes						Yes	Yes		0.013776	0.085161	0.856249	45.30062	27.606689	0.018995	0.026891	0.225602	0.01078	0	0.035345	0.013821	0.047353	CK	3.445363475	0.029923147
MAG-196	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__									Yes	Yes		2.256753	75.221963	9.491146	6.421684	8.413979	0.042208	4.560245	23.116416	1.234216	0.080557	0.100638	0.054857	30.004521			-
MAG-197	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__UKL13-2;g__;s__				Yes		Yes	Yes		Yes	Yes	Yes	1.773468	1.585825	1.753394	1.651867	1.621828	41.862055	3.491205	1.483041	2.834149	2.202996	59.552399	7.136847	0.725248			-
MAG-198	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__LD1;g__Bog-950;s__									Yes			0	0	0	1.017356	0.168428	11.189566	0	0	0	0	2.493667	0	0			-
MAG-199	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__									Yes	Yes		0.223489	0.147904	2.524645	0.428443	0.220888	7.193347	44.631006	0.169584	0.063989	0.051772	0.114766	0.056671	0.485902			-
MAG-2	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__									Yes	Yes	Yes	0.007663	0.012405	0.016326	0.008927	0.018819	8.308904	0.001294	0.012209	0.024353	0.039409	7.298319	19.341791	0.014611			-
MAG-20	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__Accumulibacter phosphatis				Yes		Yes	Yes		Yes	Yes	Yes	4.391324	12.476893	9.630373	4.491406	8.371913	1.434581	3.937541	26.46258	4.06834	4.212413	1.165683	1.249629	4.881188	Cd	3.7125901	0.034861969
MAG-200	p__Proteobacteria;c__Gammaproteobacteria;o__Rhodobacterales;f__Rhodocyclaceae;g__UBA2357;s__				Yes		Yes	Yes		Yes	Yes	Yes	8.953888	4.699317	9.805784	27.603543	13.319924	1.530078	16.756013	6.628716	3.457206	2.011012	1.76417	2.108099	2.2703185	CK	3.26822521	0.038090811
MAG-201	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__								Yes	Yes	Yes		0.214688	1.841063	11.791824	4.569485	7.27577	35.93325	0.294152	19.129145	0.727181	0.070149	25.594204	5.504191	0.921025			-
MAG-202	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__Pedosphaera;s__						Yes			Yes	Yes		0.072284	2.504754	5.204742	9.730525	7.504872	0	4.726886	4.259619	0	0	0	0	0.924722	CK	2.991825219	0.029280674
MAG-203	p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Micavibrio;s__					Yes				Yes	Yes	Yes	0.351018	0.282548	0.404756	0.555026	0.400312	21.904846	0.541523	0.290997	0.456841	0.18245	82.055387	5.746037	0.179909			-
MAG-204	p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Phreatobacter;s__					Yes	Yes			Yes	Yes	Yes	1.043836	0.751143	0.958218	1.309108	0.986217	2.299373	0.796937	0.800083	36.164109	11.157901	1.956649	3.99945	0.326197			-
MAG-205	p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__SZUA-430;s__			Yes		Yes		Yes		Yes	Yes	Yes	0.479291	1.672077	3.032127	1.712086	2.147264	3.914555	0.383333	2.550793	0.802986	0.2101205	3.425164	2.209648	11.033678	CK	3.003119088	0.049628362
MAG-206	p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__					Yes	Yes			Yes	Yes	Yes	1.012312	9.57948	14.14588	30.403549	10.819339	2.406267	10.390863	5.943767	7.633814	0.48821	4.504591	1.91421	6.8262			-
MAG-207	p__Planctomycetes;c__UBA1135;o__;f__;g__;s__		Yes							Yes	Yes		3.50067	4.922965	0.150252	0	0.117281	0	4.042251	4.994637	0.091961	0	0	0	0.112202	Cd	3.117152951	0.022614506
MAG-208	p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__OLB17;s__									Yes	Yes		16.277534	9.510745	1.100425	2.380169	1.067962	0.208416	18.864393	8.517271	11.862912	7.473225	0.061792	0	13.385333	Cd	3.553586172	0.013908236
MAG-209	p__Planctomycetes;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__									Yes	Yes	Yes	0.111313	0.014481	9.01719	27.231747	15.007447	0.234519	0.877915	0.781919	0	0.038048	0.249156	0.158598	0.072193			-
MAG-21	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__							Yes		Yes	Yes		1.556901	1.002728	3.133095	5.710394	3.197982	9.796159	8.997567	1.836496	0.388679	0.668378	6.201852	5.410555	0.611113			-
MAG-210	p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__					Yes					Yes	Yes	2.13526	3.178303	2.0549	3.947187	1.599585	0.54427	11.300022	2.514902	1.939029	0.93024	0.514015	0.344039	6.606484			-
MAG-211	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__						Yes	Yes		Yes	Yes	Yes	130.321023	15.418589	21.280535	20.780897	21.066148	13.542985	85.522808	19.908259	48.191103	219.592922	9.11768	14.845354	19.16878	Ni	4.375072133	0.005612098
MAG-212	p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA2402;s__									Yes	Yes		0.847521	6.477454	1.273979	0.754891	0.860908	1.802638	1.085143	2.44476	3.091047	0.204983	2.187914	0.812112	0.302486	Cd	3.063303333	0.041063432
MAG-213	p__Undefined;c__;o__;f__;g__;s__									Yes	Yes		0	0.430436	7.615795	3.60785	4.341534	0	0.241936	3.431559	0	0	0	0	8.964308			-
MAG-214	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__					Yes				Yes	Yes		2.971343	2.937609	7.386385	11.842234	6.721458	9.675261	9.399405	8.21857	7.594809	3.137467	15.862229	19.028415	1.443066			-
MAG-215	p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__;s__					Yes				Yes	Yes	Yes	0.266766	0.336755	2.720952	2.354156	4.408127	24.2079	0.183699	0.579447	0.257401	0.121157	50.752527	7.928622	0.34544	Cr	3.352193304	0.008279224
MAG-216	p__Planctomycetes;c__Phycisphaerae;o__UBA1845;f__Fen-1342;g__;s__								Yes				0.125382	0	0.272385	0	0.148635	0	0	0.046505	0	0	0	0	10.420105			-
MAG-217	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__							Yes		Yes	Yes		228.333264	8.67436	5.562675	34.172689	18.692951	0.754291	2.153143	3.338939	0.029691	0.136548	0.495998	0.015959	0.024277			-
MAG-218	p__Bacteroidetes;c__Rhodothermia;o__Rhodothermales;f__UBA2364;g__UBA2364;s__							Yes		Yes	Yes		0	0	0.180748	0.161106	0.1887	31.625835	0	0.114304	0	0	2.345012	0	0			-
MAG-219	p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__;g__Rubrivivax;s__							Yes		Yes	Yes	Yes	13.701277	39.816109	34.205783	38.162834	25.649844	203.973136	234.704542	350.303139	5.431629	4.747975	213.429879	91.259722	33.940621			-
MAG-22	p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__								Yes	Yes	Yes		0	0	0	0	0	23.121982	0	0	0	0	2.414934	2.197664	0	Cr	3.189443108	0.043255868
MAG-220	p__Bacteroidetes;c__Chitinophagia;o__;f__;g__;s__									Yes	Yes		0.840983	1.53684	2.720039	1.013264	2.484601	0	23.050565	9.738527	0	0	0	0	4.122333			-
MAG-221	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__							Yes	Yes	Yes	Yes		0.975853	8.261035	4.764843	1.871159	3.497752	8.432286	0.528279	5.653405	1.1593065	0.360403	13.846002	15.046749	7.087658			-
MAG-222	p__Nitrospirae;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__									Yes	Yes		4.274471	5.506021	17.784474	16.601374	13.251983	2.763984	3.528255	9.146965	4.403483	5.325416	4.524313	2.660391	1.913508	CK	3.208795255	0.04124517
MAG-223	p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__								Yes	Yes			1.842834	4.698372	4.179367	1.191906	3.238602	0.069508	0.641598	7.66521	0.666779	0.315427	0.109364	0.052078	1.282497	Cd	3.156541301	0.045168333
MAG-224	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__Devosia sp. 001899065							Yes		Yes	Yes	Yes	1.899262	3.732964	18.893306	33.860875	18.530597	2.500204	8.565011	7.740409	2.936078	1.206499	2.564837	2.106111	0.429561			-
MAG-225	p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__								Yes	Yes	Yes		1.704957	0.18515	7.333051	8.220777	6.616098	0.052782	1.657946	2.98196	0.027801	0.267389	0.054382	0.033173	4.813144	CK	3.116046985	0.034800201
MAG-226	p__Bacteroidetes;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__									Yes			0	0.030473	0.029968	0	0.0369145	24.934382	0	0.050668	0.010863	0	20.32786	26.892926	0.00961	Cr	3.443084575	0.029588571
MAG-227	p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__OLB17;s__			Yes					Yes	Yes	Yes		0	3.450026	5.182358	1.458802	3.276933	0.287448	0.090379	2.629875	4.948931	0	0.328189	0.160772	0.5186425	Cd	3.067943105	0.006331773
MAG-228	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes	Yes		0.25623	30.639378	15.480334	20.586629	16.186713	0.052616	4.952022	11.288017	117.32852	0.594861	0.0456	0.029067	0.371627	Cd	3.733921039	0.021315258
MAG-229	p__Planctomycetes;c__UBA1135;o__;f__;g__;s__			Yes		Yes				Yes			0.198272	0.237445	0.505225	0.628005	0.563636	0.188731	0.205957	0.410917	0.104436	0.115565	0.179465	0.164571	19.66283			-
MAG-23	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__						Yes			Yes	Yes		0.696784	2.326436	0.10246	0.286923	0.303029	0.039372	0.056999	12.236141	0.510398	0.212249	0.035902	0.008987	4.184956	Cd	3.455840969	0.013354876
MAG-230	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__												23.356502	0.309161	4.632874	8.626538	5.902345	0.148796	1.626879	0.878553	0.118893	4.381553	0	0	1.122151	Ni	3.196275697	0.005758208
MAG-231	p__Bacteroidetes;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__												3.814908	12.397069	64.906195	25.349582	26.060524	0.026881	27.257257	81.716784	4.732251	0.01369	0.057988	0.026441	0.22885	Cd	4.006723278	0.040130914
MAG-232	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA2336;s__									Yes	Yes		0.581509	5.845655	0.014961	0.023421	0.009553	1.179906	0.246893	0.079534	127.376952	0.106037	2.343112	0.853449	0.246537	Cd	3.504962356	0.046623485
MAG-233	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__;s__									Yes	Yes		0.88468	7.118151	8.899683	4.36699	8.2775615	7.476972	0.246761	5.41315	5.939165	0.218884	14.5467	5.168588	1.39458	Cr	3.081102984	0.029421519
MAG-234	p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Ga0077553;s__			Yes					Yes		Yes		2.610921	1.109136	3.871956	9.15581	5.195856	0.070166	7.067724	2.716211	0.030108	17.880547	0.075782	0.058667	0.759199	Ni	3.214936609	0.014238182
MAG-235	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA2336;s__									Yes	Yes		47.187302	36.226491	17.616611	41.334416	19.144281	73.960716	82.912864	39.132249	15.111387	5.081305	47.386499	2.112098	16.258836			-
MAG-236	p__Proteobacteria;c__Betaproteobacteria;o__Rhodothermales;f__Rhodocyclaceae;g__;s__				Yes		Yes	Yes		Yes	Yes	Yes	2.470162	3.772808	2.106894	2.139176	2.362278	0.509708	4.356158	2.514298	3.619625	3.261009	0.561191	1.269014	30.657507			-
MAG-237	p__Planctomycetes;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__		Yes							Yes	Yes		1.20165	0.83878	35.920622	74.429786	59.943253	0.128286	10.338075	13.850909	0.052235	0.059644	0.105323	0.062898	1.619502	CK	3.834481075	0.048081936
MAG-238	p__Bacteroidetes;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__			Yes		Yes				Yes		Yes	7.063243	0.904178	0.841313	12.20642	10.123812	0	0.337339	6.358381	0.143628	0.698568	0	0	4.336743	CK	3.070801948	0.046258506
MAG-239	p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8139;g__;s__									Yes	Yes		11.628328	0.761795	2.68458	3.68078	3.11221	0.39453	1.451974	2.018447	0.351529	0.874089	0.472942	0.292297	3.230517	Ni	3.209498133	0.020055281
MAG-24	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__		Yes	Yes						Yes	Yes		7.178439	120.632888	2.525449	0.278511	0.454698	0.044594	0.310654	0.643406	5.65424	0.127315	0.127017	0.02859	0.617934	Cd	3.910179248	0.007726659
MAG-240	p__Bacteroidetes;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__							Yes					0.049907	0.674305	8.956742	2.880222	10.214379	2.252823	0.038418	2.795448	0.360289	0.048627	4.428943	2.402243	0.095875			-
MAG-241	p__Candidatus Hydrogenedentes;c__;o__;f__;g__;s__		Yes	Yes		Yes	Yes				Yes		0.083337	0.130924	13.445891	18.619706	20.696169	0.068811	0.198012	1.369352	0.07881	0.029678	0.06063	0.038017	0.238258			-
MAG-242	p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__					Yes	Yes	Yes		Yes	Yes		3.5076	3.034699	10.695166	41.759181	13.469012	4.918383	5.840295	5.653362	11.72809	6.199835	6.714692	11.6909	1.402147			-
MAG-243	p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__SZUA-430;s__					Yes				Yes	Yes	Yes	0.160925	0.456745	2.102047	1.900233	1.407813	5.485323	0.348166	1.158067	0.221926	0	4.856457	3.899134	2.362334	Cr	3.150247876	0.004748161
MAG-244	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__						Yes			Yes			158.86882	1.884652	1.95492	1.986699	1.558579	3.138776	55.03782	4.518323	1.050504	0.132592	3.344244	0.264621	8.716417			-
MAG-245	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__										Yes		41.718655	0.210233	2.040776	4.410481	2.697907	0.429956	1.094851	0.345842	0.105754	0.936673	0.261013	0.048249	0.365122	Ni	3.335150938	0.011950629
MAG-246	p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__			Yes					Yes	Yes			0.293161	2.199639	5.656987	0.274082	1.761062	0	0	9.885438	1.123482	0.165498	0	0	1.363314	Cd	3.036736526	0.006762731
MAG-247	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Saprospiraceae;g__;s__									Yes	Yes		16.010216	8.592006	4.151995	18.188921	8.707299	0	5.713943	11.798966	0	0.006168	0	0	0.396503	Cd	3.243810167	0.031606158
MAG-248	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp. 002360495										Yes		1.328754	6.102512	3.321787	5.868621	4.340595	0.298799	4.963868	29.577331	2.27361	0.454654	0.1972	0.042991	0.964842	Cd	3.417071035	0.009107327
MAG-249	p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__;s__									Yes	Yes	Yes	0.309015	0.298215	31.5446	60.581125	24.58102	0.194252	8.729394	1.577323	0.208747	0.104685	0.178302	0.170837	0.416044			-
MAG-25	p__Bacteroidetes;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes	Yes		26.506644	7.170772	14.19033	31.912349	15.802679	0.308654	138.060154	7.733075	8.570933	16.470563	0.228741	0.059148	1.139841	Ni	4.085531135	0.007897099
MAG-250	p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__						Yes	Yes			Yes		0.111203	0.167804	0.7920445	0.433776	0.472385	4.242905	0.174965	0.266785	0	0	13.086841	15.784864	0.409252	Cr	3.072926881	0.004629712
MAG-251	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA2336;s__UBA2336 sp. 002344065									Yes	Yes		17.883274	18.311662	34.340948	63.899657	41.89863	0.106249	31.781014	10.928558	114.513179	5.455863	0.079448	0.066244	2.914655	CK	3.726767467	0.01666838
MAG-252	p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__UBA2391;s__								Yes	Yes	Yes		0.162287	0.043988	6.054339	6.229646	4.196392	84.825646	0.024398	0.585694	0.051208	0.069357	100.566223	41.879394	3.001222	Cr	3.939124615	0.003213935
MAG-253	p__Undefined;c__;o__;f__;g__;s__								Yes	Yes	Yes		0	3.093735	1.620195	0.927914	1.119893	0	0.283456	2.753963	0.118553	0	0	0	31.052472			-
MAG-254	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__									Yes	Yes		0	0.008136	0.030798	0.020062	0.015332	79.432341	0.003688	0	0	0.004364	19.850543	1.606209	0.009649	Cr	3.620072076	0.04104039
MAG-255	p__Bacteroidetes;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__									Yes			0.404948	1.008193	5.018095	1.729703	3.956126	10.276528	0.156298	3.819752	0.502813	0.165281	8.566726	3.608429	1.34881	Cr	3.009297495	0.022612376
MAG-256	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__				Yes		Yes	Yes		Yes	Yes	Yes	0.4029575	1.8112515	11.898657	3.260383	9.633641	5.209896	0.527782	8.547548	0.710031	0.127825	5.7612315	0.64462	6.502822			-
MAG-257	p__Bacteroidetes;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__									Yes		Yes	2.474738	1.078091	1.396955	2.491247	1.189194	3.373801	0	5.413587	0	0	0	0	0.941772			-
MAG-258	p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__									Yes	Yes	Yes	0.494145	2.789442	2.839487	3.148965	2.150773	3.386739	0.511852	1.055341	1.395779	0	8.272456	1.912568	6.413425	CK	2.902094202	0.035611598
MAG-259	p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__;s__			Yes		Yes	Yes		Yes	Yes	Yes		0.3362405	0.719639	0.762236	0.7001375	0.5999795	9.661609	0.469888	0.876165	0	0	10.3314555	0.391343	0.70356			-
MAG-26	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes	Yes		66.202777	9.221886	0.204582	0.432177	0.166746	0	9.17307	0.619155	82.585874	29.720383	0	0	42.20632	Ni	3.754578497	0.031841707
MAG-260	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__;s__							Yes		Yes	Yes		2.680258	0.371338	8.422696	9.84819	10.041819	0.471183	0.785337	4.004254	0	0	1.844602	0	2.580642	CK	3.100717906	0.04374971
MAG-261	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__Reyranella;s__					Yes	Yes			Yes	Yes		16.137125	0.709672	2.040198	3.251851	2.120432	0	1.679874	0.722168	1.593599	2.181883	0.842117	0.496529	1.624997	Ni	3.041557506	0.042539488
