Genome	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3
Metal	None	None	None	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	None	None	None
Pressure	None	None	None	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	None	None	None
MAG-12	3.605093	16.824376	6.301731	0.384541	0.424725	0.432392	0.046781	0.056924	0.053792	0.012218	0.011802	0.00476	0.077693	0.077468	0.081088	0.037839	0.041601	0.041411	0.005682	0.006485	0.005571	0.024812	0.019975	0.0192	0.026744	0.014345	0.021042	0.014318	0.010721	0.012396	18.37609	30.473166	1.017857
MAG-13	24.121971	44.067987	12.212701	0.490976	0.648183	0.616963	0.03831	0.04488	0.043359	0.017951	0.012067	0.017766	0.557052	0.602158	0.588737	0.03283	0.053327	0.04666	0.007574	0.014929	0.0091	0.123841	0.164874	0.140982	0.09139	0.115445	0.101456	0.072339	0.074368	0.066599	24.739182	6.554573	0.116408
MAG-14	1.120965	1.509202	1.425588	0.711409	0.861361	0.839437	4.039096	6.067687	6.290819	5.137864	5.192512	5.159383	0.029456	0.0345	0.025479	0.026294	0.023828	0.027633	0	0	0	0.048175	0.130323	0.124942	0.034804	0.025119	0.027512	0.009246	0.009325	0	1.671564	0.629907	0.115394
MAG-15	0.597984	0.678187	0.800985	2.262867	2.355727	2.433799	0.46506	0.560108	0.619225	0.026999	0.031738	0.027718	22.448202	24.740758	24.556318	83.941115	75.169845	74.02011	0.05313	0.040391	0.036329	1.686136	4.299855	4.29735	1.526475	1.877379	1.848074	0.108273	0.098415	0.091749	0.687287	5.007154	4.276754
MAG-16	0.2490375	0.412514	0.3259815	0.175142	0.151292	0.1542	0.964955	1.04097	1.026466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.640586	5.083789
MAG-17	0.151116	0.10996	0.048829	8.061642	9.683204	9.913437	1.329988	1.82643	1.904694	0.235611	0.281348	0.260365	0.012496	0.012676	0.011084	0.323971	0.650027	0.64882	0.098149	0.077959	0.076326	0.010953	0.01272	0.018317	0.010959	0.006874	0.010339	0.001442	0	0.002144	0.124082	5.332244	2.656918
MAG-18	6.945323	2.896466	4.285663	6.309351	7.44481	7.564394	0.020796	0.023244	0.027609	0.003806	0.006622	0.006778	0.013664	0.022904	0.020446	0.015534	0.017264	0.018398	0.003429	0.003457	0.002256	0.032814	0.044726	0.038412	0.034725	0.027764	0.027445	0.01945	0.019887	0.013563	8.657917	13.818041	0.060717
MAG-19	1.524414	0.627664	3.181508	0	0	0	0	0	0	0	0	0	0	0	0	0.151496	0.143505	0.133043	0.019966	0	0	0	0	0	0	0	0	0	0	0	3.140591	2.210371	10.191431
MAG-20	0.59282	0.755899	0.684529	0.679015	0.695372	0.658675	0.337275	0.218585	0.207642	0	0	0	8.310106	8.692899	8.084214	0.069668	0.068772	0.0631195	0	0	0	0	0	0	0	0	0	0	0	0	0.509385	0.62434	0.044894
MAG-21	1.399886	1.070826	1.818029	6.180838	6.371349	6.263482	0.530134	0.521245	0.513118	0.028195	0.025254	0.021432	0.156693	0.159642	0.139416	0.047993	0.064648	0.053858	0	0	0	0.713957	0.672342	0.681982	1.007721	0.827212	0.8194	0.371504	0.351239	0.327403	1.224642	1.104754	0.280488
MAG-22	1.396273	1.324623	1.339126	5.905826	6.149687	5.878249	1.706623	1.271488	1.265339	0.10873	0.111518	0.11715	0.460751	0.502603	0.415307	0.65354	0.727994	0.617995	0.067038	0.068283	0.085006	0.07184	0.059192	0.047532	0.057586	0.063377	0.053682	0.032411	0.037841	0.035979	1.890959	3.39542	6.832322
MAG-23	3.628389	2.577492	4.021928	4.895406	5.284529	5.028375	0.90741	0.989188	0.992446	0.082465	0.083256	0.08949	0.209261	0.216038	0.189291	0.074799	0.087315	0.08157	0.012232	0.007418	0.013682	0.155301	0.205205	0.21684	0.105482	0.10837	0.13632	0.042231	0.047175	0.045868	5.106856	2.105474	0.403196
MAG-24	4.304195	2.192144	3.674186	4.439373	4.443645	4.386376	0.037127	0.018599	0.021985	0	0	0	1.003105	1.054774	0.972369	0.015688	0	8.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.930643	0.487029	0.072699
MAG-25	41.811398	47.711387	24.614529	8.064722	8.471619	8.159707	0.291485	0.213075	0.244778	0	0	0	3.23081	3.18223	2.996045	0.527778	0.60247	0.54904	0	0	0	0	0	0	0	0	0	0	0	0	45.963459	3.3731685	0.129209
MAG-26	0.203687	0.174599	0.230178	0.765625	0.727458	0.719969	0	0	0	0	0	0	0.251568	0.232679	0.230304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258901	4.44367	8.881765
MAG-27	0.080445	0.041562	0.105901	3.044865	3.040901	2.995739	2.714936	2.164109	2.216093	0.068839	0.064056	0.059026	1.562069	1.606545	1.489612	1.743457	1.565485	1.346023	0	0	0	0	0	0	0	0	0	0	0	0	0.11373	1.56831	0.07994
MAG-28	14.68841	7.867935	26.617259	35.655806	39.174307	39.121968	67.944001	59.755104	61.852808	0.076075	0.086853	0.08235	0.545775	0.524655	0.496678	2.872969	3.947539	3.813643	0.037687	0.045286	0.051056	0.021487	0.006975	0.010332	0.035419	0.009895	0.010546	0.005759	0.017592	0.014254	0.843869	59.582863	112.940339
MAG-29	0.252774	0.194317	0.345762	0.222609	0.230557	0.242381	0.062724	0.070206	0.074345	0.007432	0.00977	0.007909	2.887307	3.087871	2.943681	18.0777	19.319332	17.565855	0.011022	0.020241	0.016244	0.035017	0.026483	0.023001	0.037933	0.023708	0.023158	0.015485	0.022913	0.019973	0.184394	0.348537	0.34313
MAG-30	10.074646	4.583521	20.199099	0.978563	1.305756	1.291593	0.20972	0.268424	0.288191	0.060792	0.071548	0.057473	2.361158	2.295901	2.150541	0.869801	1.208136	1.114333	0.356034	0.361717	0.362082	0.138448	0.301192	0.294307	0.111168	0.11658	0.113269	0.037096	0.041233	0.03171	16.39698	3.371687	0.248662
MAG-31	9.7631775	6.380817	16.542876	3.844347	4.433353	4.350324	1.320372	1.850592	1.824359	1.063561	1.125564	1.095291	0.990739	1.000633	0.986496	0.62668	0.932014	0.901825	0.285096	0.290219	0.293233	0.115243	0.249414	0.243713	0.057603	0.05387	0.044717	0.018532	0.013596	0.018937	19.377471	10.377541	4.248719
MAG-32	2.740762	1.695972	3.985969	2.877458	3.301772	3.118801	0	0	0	0	0	0	0.114474	0.084536	0.101586	0.081326	0.075804	0.064076	0	0	0	0	0	0	0	0	0	0	0	0	1.331368	2.897025	0.791451
MAG-33	0.128418	0.103163	0.16426	0.073742	0.087121	0.076565	0.048272	0.070612	0.065772	0.01656	0.02083	0.020783	0.022555	0.023869	0.023758	0.038333	0.043607	0.036177	0.005686	0.004421	0.01119	0.047887	0.037401	0.040596	0.044198	0.049896	0.057859	0.032071	0.028137	0.032737	0.179778	0.101805	12.712003
MAG-34	0.378	0.191594	0.4595215	0.454319	0.510381	0.4832815	0.385739	0.301251	0.313726	0	0	0	0.349803	0.328489	0.331411	0.254086	0.341094	0.327905	0.142037	0.139148	0.155553	2.7804005	2.2016965	2.124694	2.204612	2.138496	2.156735	1.576254	1.740564	1.731773	0.8726175	0.565543	0.262995
MAG-35	0.291092	0.235392	0.303441	1.406194	1.542131	1.641205	5.973448	8.761901	9.139398	0.197934	0.220842	0.22791	1.46233	1.44305	1.450888	4.530275	5.608103	5.573665	0.876228	0.891242	0.794105	0.120621	0.073198	0.068717	0.188329	0.177056	0.169122	0.142273	0.146971	0.154942	1.43548	1.465366	0.757971
MAG-36	0.145401	0.066463	0.243361	0.077003	0.095319	0.082275	0.018837	0	0	0	0	0	0.071801	0.06555	0.062352	0.5397145	0.506173	0.495236	0.351254	0.36893	0.380105	0	0	0	0	0	0	0	0	0	0.528817	2.975361	9.789185
MAG-37	0.370558	0.467742	0.260076	0.301994	0.363872	0.371817	0.111366	0.173309	0.17534	0	0	0	0.248266	0.257943	0.228324	0.16265	0.168375	0.16437	0.0919645	0.077124	0.072859	1.676251	0.927299	0.896724	2.1931445	2.034645	1.973696	2.022634	2.229767	2.289959	1.040424	0.782318	0.377575
MAG-38	0.43696	0.364475	0.184787	0.020347	0.02352	0.023892	0	0	0	0	0	0	0.005687	0.003987	0.004943	0	0	0	0	0	0	7.920314	4.085601	3.840773	6.232344	5.297278	5.298286	2.994042	2.058117	1.97741	1.408215	0.032196	0.006444
MAG-39	0.446604	0.95372	0.140818	2.191568	2.692279	2.777481	0.046201	0.047314	0.045898	0	0	0	2.952034	3.280344	3.265588	0.05033	0.044106	0.045032	0	0	0	0	0	0	0	0	0	0	0	0	0.34131	1.212257	0.07466
MAG-40	0.190871	0.285729	0.173779	0.268115	0.401702	0.361376	0.210503	0.303337	0.30646	0.084142	0.102922	0.095314	0.825187	0.835095	0.817092	0.860055	0.918572	0.902084	0.32747	0.329912	0.324799	7.732421	6.879226	6.754881	8.451907	8.908956	8.924559	16.355796	18.899418	19.376373	1.09066	1.165842	0.33538
MAG-41	1.8105175	1.867799	1.631676	0.324074	0.405172	0.4084725	0.174923	0.199452	0.223489	0.020564	0	0	0.0891905	0.096627	0.094513	0.077116	0.076311	0.056567	0.035232	0	0	0.707977	0.509899	0.51027	1.157675	1.191898	1.219976	0.771918	0.7714305	0.758023	7.124438	0.785525	0.120809
MAG-42	0	0	0	0	0	0	0	0	0	0	0	0	0.242149	0.263382	0.261885	3.977767	3.704385	3.64719	0.880305	0.81826	0.784739	0	0	0	0	0	0	0	0	0	0	0.084236	0.369993
MAG-43	1.145932	0.942986	0.886211	2.66734	3.220501	3.19289	0.959929	1.337051	1.374616	0.317777	0.362268	0.337344	1.282096	1.413537	1.3467295	0.2948255	0.302755	0.299857	0.118157	0.088628	0.085749	9.161516	13.388109	12.955533	4.095498	4.044846	4.020358	2.188425	2.232641	2.2546	5.517272	4.164287	0.1868515
MAG-44	0.90474	0.526431	0.592726	4.108099	4.97348	5.008672	0.735845	0.849657	0.895622	0.310647	0.357505	0.35265	0.935578	1.030613	1.018906	0.394863	0.431248	0.409894	0.223538	0.218307	0.226844	0.092728	0.112358	0.097911	0.076624	0.074782	0.079923	0.050305	0.059003	0.053084	2.529276	3.20081	0.195856
MAG-45	10.064012	17.110526	6.184824	0.509701	0.552648	0.594915	0	0	0	0	0	0	0.354408	0.393748	0.405772	0.0532685	0.042437	0.045202	0.014945	0	0.011584	0.131157	0.157487	0.151751	0.128494	0.097316	0.095873	0.076358	0.064834	0.059875	36.436633	0.955122	0.043098
MAG-46	4.867463	7.875314	1.765846	0	0	0	0	0	0	0	0	0	0.070334	0.069355	0.074807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.348475	0	0
MAG-47	1.958713	4.959839	2.107832	0.023772	0.035826	0.037007	0	0	0	0	0	0	0.026204	0.032595	0.027966	0.057843	0.078908	0.087832	0	0	0	0	0	0	0	0	0	0	0	0	4.336051	34.162891	1.074662
MAG-48	0.10237	0.01921	0.185883	0.040221	0.026665	0.032295	0	0	0	0	0	0	0	0	0	0.065853	0.088971	0.081905	0.019028	0	0	0	0	0	0	0	0	0	0	0	0.144548	0.568549	6.524396
MAG-49	1.483989	1.551812	2.724638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78581	3.140406	2.523256
MAG-50	4.246529	4.870544	4.835143	1.846746	1.986711	1.956441	0.091011	0.089173	0.101657	0.022689	0.027189	0.021057	0.643452	0.70309	0.654409	0.853087	0.912914	0.8701375	0.107337	0.122536	0.119425	0.030999	0.040236	0.040419	0.019871	0.028807	0.022717	0.01052	0.015938	0.01702	8.199537	8.910928	2.929771
MAG-51	6.859443	4.756847	7.075471	0.595444	0.641657	0.708008	0.026398	0.025385	0.023986	0.011136	0.008959	0.009146	0.035721	0.032841	0.035317	0.164478	0.210527	0.197642	0.040443	0.044717	0.041756	0.108425	0.200553	0.175338	0.042791	0.047172	0.052806	0.016764	0.009407	0.013276	5.976383	9.990324	1.232316
MAG-52	3.776317	1.365841	6.165649	0.72155	0.77297	0.811649	0.073302	0.089244	0.099765	0.035734	0.020199	0.023677	0.019483	0	0	0.05375	0.058517	0.049625	0.016997	0	0.017719	0.339494	0.58608	0.540658	0.316277	0.292247	0.274829	0.130643	0.119175	0.122806	7.603906	3.046853	0.636617
MAG-53	2.082636	0.717275	2.582236	4.916427	5.262757	5.010366	2.590066	1.987947	2.014791	0.293729	0.30065	0.302839	0.255135	0.245235	0.243025	0.914162	0.958356	0.850814	0.126054	0.138816	0.122712	0.038685	0.039814	0.050061	0.047318	0.047379	0.03708	0.018397	0.017657	0.017975	2.682838	2.683813	0.733849
MAG-54	1.469218	1.274735	2.289767	2.446215	2.455609	2.274775	0.728422	0.934003	0.969463	0.312239	0.343922	0.314737	0.288598	0.309286	0.251045	0.882514	0.807079	0.812975	0.301597	0.269434	0.283738	0.157386	0.227332	0.214004	0.106559	0.122728	0.12043	0.022554	0	0	2.899127	2.33912	0.748874
MAG-55	2.716146	1.5760525	5.014378	0.424779	0.448998	0.445125	0	0	0	0	0	0	0.060531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69495	2.690439	0.793799
MAG-56	7.60607	5.080602	12.11416	10.495238	11.371155	11.581378	2.306666	1.732846	1.837528	0.0254435	0.035853	0.022363	1.443988	1.358219	1.313858	1.302755	1.16843	1.076173	0.033603	0.031344	0.030259	0.067179	0.064162	0.054792	0.076048	0.068744	0.089119	0.033919	0.026155	0.025416	10.864779	11.971125	12.763327
MAG-57	5.685025	3.1865565	7.772266	6.183403	6.058285	6.140784	0.07417	0.081476	0.070554	0	0	0	0.173566	0.159915	0.130204	0.171185	0.274622	0.231732	0	0	0	0.024389	0	0	0.035527	0	0.042205	0	0	0	2.919541	13.022399	18.285994
MAG-58	2.801698	1.72182	5.038592	0.544756	0.622777	0.610389	0.043681	0.063284	0.0595	0	0	0	0.081009	0.064971	0.066652	0.085195	0.092398	0.079412	0.017266	0.015912	0.021724	0.085713	0.08762	0.094198	0.060718	0.068789	0.070627	0.032554	0.03059	0.02719	4.59562	7.323375	1.267786
MAG-59	23.88026	60.152604	42.270671	3.710412	3.846157	3.774416	0.031354	0.030915	0.035642	0.008338	0.009526	0.014243	4.340807	4.616384	4.419747	0.02174	0.019951	0.02624	0.004798	0.004302	0.003458	0.044656	0.054996	0.049167	0.03627	0.043906	0.050208	0.012434	0.01794	0.017584	27.130974	23.444545	0.231434
MAG-60	1.030533	0.774554	1.337117	1.647074	1.698561	1.71961	0.577636	0.743555	0.826589	0.219897	0.235194	0.268275	0.096391	0.096884	0.10111	0.136202	0.155053	0.146986	0.0264675	0.032422	0.024409	1.056045	1.494777	1.37122	0.925364	1.082888	1.090348	0.298702	0.319409	0.318099	2.179129	0.142386	0.069392
MAG-61	0.318447	0.317457	0.461578	1.133429	1.264129	1.261975	3.385495	4.676376	4.792363	1.339877	1.465295	1.476485	0.414159	0.453527	0.428945	0.365414	0.370319	0.369272	0.09172	0.090138	0.095218	0.848752	0.99926	0.939339	0.845618	1.016847	0.987989	0.31434	0.342771	0.338007	0.901172	0.171677	0.160082
MAG-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.051484	10.523442
MAG-63	0.068907	0	0.091354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.467266	7.535951	7.417093	0.592835	0.408141	0.37955	1.087414	1.098351	1.141431	0	0	0
MAG-64	3.124003	1.997143	2.982318	6.991758	7.32248	7.271379	9.043794	6.168883	6.479587	7.491422	8.206182	7.981667	0.480149	0.468089	0.439396	0.373798	0.40831	0.374614	0.157776	0.122307	0.158054	0.138016	0.220681	0.193023	0.037313	0	0	0	0	0	4.519445	5.598686	7.15762
MAG-65	0.377075	0.158889	0.777318	0.5781	0.671775	0.629139	4.33462	2.907323	2.864651	3.805884	3.814021	3.829575	0.02829	0.020615	0.019626	0.056984	0.060634	0.059527	0.034283	0	0.018511	0.073281	0.066523	0.073568	0.071931	0.029745	0.036329	0.027483	0	0.021221	0.601637	0.510736	1.255509
MAG-66	2.258368	1.047617	3.125941	3.535555	3.951455	3.815492	4.501553	3.607937	3.777581	0.492319	0.554667	0.545472	0.186319	0.178492	0.17369	0.460332	0.598236	0.529247	0.153716	0.155632	0.176299	4.999608	3.601992	3.675673	7.164714	7.404708	7.192274	7.359336	6.552309	6.44736	2.945485	3.469921	4.393979
MAG-67	5.938648	4.119892	6.824349	15.742045	16.893089	16.804415	45.439757	34.218193	35.282207	0.584534	0.463068	0.458334	1.946328	1.993414	1.8658785	1.246545	1.234681	1.089772	0	0	0	0	0	0	0	0	0	0	0	0	2.906294	10.386447	20.216428
MAG-68	3.557985	2.969022	3.622849	7.591859	8.234074	8.176277	10.807769	7.270676	7.619574	0.131284	0.102956	0.113703	2.90626	2.90963	2.747916	1.83968	1.873273	1.653557	0.05162	0.051969	0.04413	0.189415	0	0	0.665321	0.573951	0.598165	1.312406	1.378345	1.312164	1.783688	6.180316	9.506425
MAG-69	2.01581	2.229348	1.795562	1.286593	1.537863	1.568591	0.386943	0.453391	0.467237	0.164003	0.189993	0.179032	0.574796	0.589574	0.525242	5.988702	5.447751	4.994841	0.387937	0.353832	0.387787	0.228548	0.240321	0.2121	0.2389	0.237166	0.260363	0.115721	0.130031	0.144689	19.392163	6.415137	2.019589
MAG-70	2.904717	1.369705	1.834983	0.32661	0.443663	0.441469	0.134843	0.145918	0.147191	0.059013	0.068993	0.088362	0.031122	0.032279	0.030485	0.074742	0.105995	0.10198	0.028976	0.026903	0.020605	15.319194	6.424261	6.425635	26.903106	30.766185	30.646557	3.87417	4.26494	4.296272	4.282958	0.621606	0.174436
MAG-71	0.855832	0.286437	0.619102	0.20148	0.269191	0.270105	0.066426	0.074312	0.081702	0.02739	0.016368	0	0	0	0	0.038137	0.050566	0.037494	0.014971	0	0.016394	8.022599	3.77735	3.961431	36.945002	31.230646	30.872101	34.213096	31.430312	31.979547	1.821755	0.274116	0.132664
MAG-72	1.386026	0.548362	2.741627	3.011919	3.343684	3.353813	0.5667	0.381804	0.380913	0.033817	0.012718	0	0.487839	0.390107	0.367148	0.396291	0.434729	0.37506	0	0	0	0.025731	0	0	0.041132	0	0.017242	0.023733	0	0	1.872433	1.241121	0.634764
MAG-73	3.130016	4.43635	5.454171	2.419614	2.366758	2.359968	2.250757	1.454394	1.48183	0.480092	0.520878	0.486497	0.340224	0.355312	0.333071	3.609879	3.25634	2.93073	1.478449	0.972706	1.029693	0.065144	0.059068	0.040759	0.057088	0.05079	0.047108	0.013369	0.014531	0.019204	4.300777	0.357564	0.146968
MAG-74	6.430901	5.870331	5.43201	2.256072	1.973337	2.008394	0.150394	0.09079	0.079477	0	0	0	0.284118	0.302656	0.285025	1.253439	0.953034	0.840987	0.040175	0	0.035454	0.268247	0.179052	0.189487	0.909881	0.57612	0.59345	0	0	0	11.970183	0.837511	1.442494
MAG-75	1.4698	0.873548	3.134732	2.079913	2.319938	2.337806	1.816674	1.197205	1.252025	0.315742	0.326657	0.300109	0.190363	0.170264	0.154616	0.374432	0.399203	0.350552	0.027135	0.016853	0.019184	0	0	0	0.035508	0.019396	0.018186	0	0	0	3.097062	1.211926	0.525033
MAG-76	1.49222	1.625374	1.509514	1.190554	1.042639	1.037189	1.757372	1.003499	1.046186	1.112076	1.1417705	1.120063	0.371342	0.36579	0.359285	0.058252	0	0	0	0	0	2.803246	1.495015	1.474199	1.9224915	1.156447	1.144344	0.071304	0.0161425	0.029718	3.198673	0.349412	0
MAG-77	0	0	0	0	0	0	0.236808	0.297212	0.307003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.210443
MAG-78	1.165182	0.176668	0	1.815747	1.633119	1.628426	0.112646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83258	3.194696	3.198843	0.470743	0.598157	0.5737165	0	0	0	0	0.1583585	0.076132
MAG-79	75.07823	15.526992	25.329514	5.115462	4.930468	4.744386	0.064575	0.077727	0.071741	0.014324	0.019037	0.015093	1.692942	1.797796	1.597222	0.049391	0.050959	0.048399	0.013093	0.011774	0.011763	119.494449	24.309555	24.66562	3.347383	4.485415	4.458404	0.024957	0.028635	0.025629	17.150367	3.407182	0.150776
MAG-80	0.299162	0.100492	0.669539	1.80284	1.907456	1.84268	1.357013	0.904564	0.88948	0.5590925	0.652629	0.626808	0	0	0	0.11541	0.130026	0.110412	0.028593	0	0.021591	0	0	0	0	0	0	0	0	0	0.657919	2.344964	3.074365
MAG-81	0.286122	0.139332	0.427521	0.167038	0.185551	0.171147	0.098305	0.108129	0.096685	0.022919	0.01728	0.021924	0.021285	0.02605	0.021714	0.035027	0.039392	0.036347	0.010812	0.008544	0.008381	15.619716	3.271402	3.284715	7.688033	7.956843	7.859971	0.402185	0.378227	0.337018	0.274823	0.218387	0.463013
MAG-82	0.278706	0.150313	1.723122	0.377594	0.363173	0.3884	70.559379	55.129112	56.928232	2.767656	2.364358	2.362537	0.115914	0.128175	0.124616	3.784063	2.599919	2.390207	0.042504	0.040934	0.048226	0.008469	0.010372	0.008228	0.046	0.026434	0.02055	0.00538	0.006061	0.004592	1.202152	1.268155	0.379699
MAG-83	13.761332	1.05505	0.179903	19.149015	17.674634	17.834107	0.129758	0.137168	0.114899	0.006091	0.007119	0.006717	0.107247	0.125156	0.124654	0.043405	0.044395	0.045896	0.002916	9.10E-04	0.001074	0.008402	0.005193	0.008344	0.021524	0.017733	0.023954	0.0027	0.00121	0.006551	2.767607	1.920454	0.013747
MAG-84	18.808436	28.170359	0.572747	0.057148	0.038583	0.055585	0.037667	0.04812	0.038856	0	0.004661	0	0.00544	0.008769	0.011048	0.004295	0.004287	0.002398	0	0	0	0.007123	0	0	0.014636	0.012259	0.015734	0.00252	0.002182	0.001686	97.148392	0.066121	0.024388
MAG-85	2.609407	2.998791	4.677517	3.531361	3.673965	3.57885	2.435296	2.912501	2.966442	0.161414	0.164334	0.154986	0.107221	0.119685	0.105554	0.086323	0.097439	0.098356	0	0	0	0	0	0	0.010508	0	0	0	0	0	7.056479	1.215708	1.544087
MAG-86	0	0	0.321753	2.635598	2.622448	2.699632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.354635	3.548911
MAG-87	4.909953	2.759936	8.132147	12.376729	13.666798	13.542071	1.032754	1.142598	1.228611	0.329173	0.341881	0.327316	0.090397	0.101134	0.091976	0.093479	0.113274	0.098482	0.025938	0.0215	0.030426	22.622963	32.380993	32.1100055	13.607833	16.054689	15.957445	2.707954	2.6218	2.648618	11.660109	3.700053	0.464338
MAG-88	1.353686	6.708912	2.766536	0.968745	0.932936	0.9565245	0.4386835	0.49821	0.5205765	0	0	0	0.102479	0.089481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.051023	0.8103515	0
MAG-89	3.247581	3.769475	7.661439	0.833326	0.860748	0.834116	0.051321	0.049651	0.02155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.72894	1.160987	0.14741
MAG-90	0.072507	0.177315	1.58212	0.049515	0.070457	0.054557	0.039642	0.048448	0.046579	0.005553	0.013561	0.011195	18.274996	18.873666	17.482962	0.089845	0.107882	0.089409	0.015395	0.014925	0.01961	4.456454	42.544691	43.301835	0.03363	0.02453	0.024385	0.011327	0.009201	0.008004	20.444865	0.147154	0.248911
MAG-91	3.288126	5.401292	5.330563	0.406115	0.402209	0.377032	0.022591	0.025035	0.024068	0.00393	0.003794	0.00485	2.114875	2.03653	1.920383	6.387526	5.819088	5.25088	0.0366	0.031082	0.034316	0.008692	0.008042	0.005851	0.008102	0.005034	0.005149	0.002775	0.003549	0.002165	0.105617	0.472426	0.447516
MAG-92	0.245324	0.27021	0.368729	0.059047	0.04056	0.044086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.561559	4.798451	4.74914	1.771751	1.973243	1.981008	1.956408	2.056293	2.07495	0.87261	0.087345	0.032938
MAG-93	0.061044	0.133012	15.270488	4.485573	3.557333	3.838457	0.022387	0.028999	0.027347	0.005391	0.006827	0	0.010757	0.009737	0.010369	0.007065	0.007373	0.006343	0	0	0	0.24506	0.432678	0.447167	0.017421	0.01286	0.020444	0.0108	0.006462	0.006329	9.532733	0.659221	0.99098
MAG-94	0.552172	0.607995	0.847822	0.313577	0.340019	0.365242	0.263387	0.309116	0.308298	0.120891	0.101624	0.104698	0.172246	0.172904	0.183693	0	0	0	0	0	0	3.271864	3.52878	3.470786	1.54435	1.631991	1.58937	0.431382	0.423211	0.390125	1.432443	0.251383	0.095202
MAG-95	0.37729	0.513994	0.552716	0.309745	0.302665	0.301947	0.131567	0.146779	0.146923	0.059137	0.02333	0.039633	1.302006	1.246352	1.272206	1.632283	1.868285	1.913465	0.338884	0.332538	0.306848	0.611675	0.512994	0.49021	0.36275	0.43451	0.425959	0.061994	0.050125	0.060862	1.279338	0.53999	0.240246
MAG-96	28.22325	41.523344	72.2493	0.312733	0.349672	0.371775	0.032856	0.022647	0.032057	0	0	0.010198	0.306424	0.346165	0.353996	0.042699	0.042607	0.036616	0.013425	0.003944	0.017745	0.205995	0.296737	0.231036	0.08103	0.062001	0.052566	0.022495	0.028575	0.023384	118.714078	2.533571	0.884704
MAG-97	0.404446	0	0.185715	1.002993	1.081803	1.105516	0.092447	0.062562	0.062209	0.019551	0.02168	0.025892	0	0	0	0.183334	0.227793	0.240581	0.088533	0.092407	0.075376	7.155085	2.552718	2.376058	1.41634	1.636704	1.588566	0.052991	0.042394	0.045991	0.061018	0.016953	0
MAG-98	0.01679	0.027048	0.011676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003731	0	0.005222	0	0	0	0	0	0	0.028463	0.013167	0.137696
MAG-99	3.965617	4.640095	1.270088	0.015727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.079617	0.170815	0.029633
MAG-100	86.586744	106.45419	2.402713	0.119342	0.143308	0.179256	0.003313	0	0	0	0	0	0.011342	0.014739	0.022309	0.131837	0.210626	0.157657	0.029039	0.025054	0.034621	0.006529	0.015815	0.007957	0.005672	0	0	0	0	0	27.12543	0.341419	0
MAG-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144602	0	0	0	0	0	0	0	0	0	11.751493
MAG-102	0.103905	0.113995	0.114801	0.06011	0.065573	0.057638	0.041362	0.036633	0.046491	0.033726	0.035431	0.042942	0.033477	0.029151	0.039175	0.031918	0.028751	0.031627	0.055303	0.069033	0.057449	14.29725	24.364438	23.115529	44.478689	53.227578	53.351808	2.549799	2.43235	2.319837	0.187874	0.087414	0.04363
