Genome	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3
Metal	None	None	None	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	None	None	None
Pressure	None	None	None	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	None	None	None
MAG-358	6.022186	11.486583	2.927461	7.728015	7.031329	7.624765	5.054438	3.237604	3.386631	0	0	0	2.332759	2.148752	2.155606	8.457083	5.846549	5.532184	0.005084	0	0	0	0	0	0.003464	0	0	0	0	0	8.016597	4.11087	0.254936
MAG-359	5.329536	1.601052	4.8594245	3.215385	2.800957	3.036773	0.138539	0.061485	0.074636	0	0	0	1.151245	1.152897	1.18265	0.434087	0.353156	0.316765	0	0	0	0.134734	0.062706	0.063216	0	0	0	0	0	0	1.06043	16.981633	10.675928
MAG-360	1.414871	0.535841	2.492393	2.773154	2.47523	2.683597	0.86366	0.500727	0.50555	0	0	0	0.346101	0.288526	0.288836	0.094871	0.061451	0.067585	0	0	0	0	0	0	0	0	0	0	0	0	0.316792	2.003821	2.649627
MAG-361	10.7370245	8.498307	6.875624	5.871846	5.004338	5.37236	0.059327	0	0	0	0	0	7.844821	8.762002	8.939331	0.697875	0.507636	0.502889	0	0	0	0	0	0	0	0	0	0	0	0	5.990057	7.383565	11.281716
MAG-362	0.092211	0.020738	0.122975	2.292097	1.809392	1.980486	0.883296	0.509114	0.562242	0	0	0	0.03719	0.033035	0.029239	0.149291	0.108015	0.093447	0.005386	0	0	120.111604	51.620111	49.802445	111.992458	74.297731	71.667789	197.342821	172.426427	166.844479	0.065033	0.085026	0.077576
MAG-363	1.686088	0.515078	1.553449	4.068652	3.859053	4.159722	2.55496	1.610237	1.673766	0.271371	0.300811	0.307805	0.691257	0.609407	0.621804	0.227696	0.195492	0.182814	0	0	0.003969	48.118467	20.009054	18.950579	30.465294	24.025568	23.604158	0.074689	0.058402	0.051637	1.495928	1.026719	0.58732
MAG-364	2.775785	1.469992	3.126294	14.748996	12.767375	13.752546	10.35544	6.307194	6.608933	0	0	0	8.546142	8.892105	8.87647	0.363822	0.274201	0.210242	0	0	0	19.235661	29.081922	28.213711	4.295362	2.843446	2.784365	0.672412	0.587028	0.584131	2.770491	9.047755	2.998247
MAG-365	1.611134	0.636859	4.410843	0.506906	0.436048	0.487081	0.129049	0	0	0	0	0	0.0940505	0	0	0	0	0	0	0	0	0.936781	0.911572	0.92281	0.193156	0	0	0	0	0	2.556515	2.421611	1.7148485
MAG-366	1.869139	0.517636	17.292818	0	0	0	0	0	0	0	0	0	0.151814	0.117084	0.113272	0	0	0	0	0	0	0.05436	0	0	0	0	0	0	0	0	16.167352	19.508641	7.178253
MAG-367	1.57567	3.137718	1.097411	3.791096	3.54734	3.802949	4.24246	2.507893	2.580666	0.044544	0.047075	0.064489	1.812361	2.042351	2.276297	64.255084	33.860453	33.447252	0.214915	0.119479	0.093449	0.010956	0.005123	0	0.031549	0.004087	0	0.00135	0	0	2.134676	7.255388	4.051045
MAG-368	2.548676	23.228302	0.245557	8.228088	7.139167	7.777357	11.144133	6.790931	7.002602	0.032557	0.024979	0.027779	0.008522	0.010066	0.017591	5.918792	3.49386	3.525279	0.020003	0.020973	0.019199	3.68614	2.9364425	2.680201	14.285774	12.606233	12.428399	0.002505	0.003713	0.006597	3.182121	5.909486	2.030274
MAG-369	0.167913	0.535721	0.047128	0.006981	0.006704	0.005585	0.00634	0.004331	0.004584	0.003135	0.008033	0.013054	8.71E-04	0	0.003244	0.001316	0	0	0.004977	0.005469	0.003729	5.946464	42.872635	41.485318	1.090821	0.900512	0.909999	0.022456	0.024416	0.019615	0.109912	0.01051	0.005573
MAG-370	0.024615	0.016207	0.019014	0.01407	0.007593	0.011728	0.017158	0.019722	0.016152	0.006312	0.018205	0.017578	0.004903	0.008588	0.01054	0.010601	0.012795	0.020569	0.008708	0.018517	0.010831	91.089134	247.155878	233.039837	27.216182	27.901637	27.015172	4.883201	4.484936	4.42727	0.035745	0.030916	0.010389
MAG-371	5.230692	2.847317	2.083022	2.758697	2.448751	2.571937	0.54766	0.314062	0.350945	0	0	0	4.875634	5.537707	5.948981	0	0	0	0	0	0	0.03528	0	0	1.467195	1.197853	1.156264	0	0	0	4.824984	5.99705	0.76232
MAG-372	6.259995	9.700162	4.894533	0.320227	0.335588	0.355563	0.014151	0.011325	0.014871	0	0	0	0.007328	0.010095	0.013162	0.010428	0.009927	0.004586	0	0	0	0.001554	0.005474	0	0	0	0	0.00105	0	0	18.992287	1.257514	0.00693
MAG-373	0.026337	0.024509	0.0252	0.022151	0.020729	0.020019	0.027913	0.022847	0.03414	0.020281	0.021327	0.016545	0.005548	0.008398	0.008242	0.022559	0.019985	0.016283	92.00391	96.14299	80.707217	0.025235	0.020877	0.025042	0.020586	0.020447	0.017758	0.047447	0.018704	0.020454	0.02859	0.013921	0.019129
MAG-374	0.016896	0.015982	0.025519	0.024329	0.017865	0.019313	0.03701	0.030778	0.045376	0.013476	0.01364	0.019434	0.006021	0.005392	0.005781	0.068037	0.075076	0.086017	63.856255	74.968948	63.692524	0.026655	0.033306	0.026284	0.017462	0.025537	0.019055	0.026025	0.013611	0.015018	0.024222	0.019599	0.013671
MAG-375	0.542996	0.222472	0.43307	3.096708	3.267791	3.400663	8.945687	8.177905	8.524573	2.412136	2.333603	2.426374	0	0	0	0.12865	0.16775	0.141412	2.682008	2.680567	2.385907	13.317724	12.627297	11.811165	15.04429	13.693756	13.399318	16.78441	14.004442	13.557261	0.951332	0.219027	0.20348
MAG-376	0	0	0	0	0	0	0	0	0	1.725076	1.597595	1.702172	0	0	0	0	0	0	3.288927	3.36627	3.025514	0	0	0	0	0	0	0	0	0	0	0	0
MAG-377	2.674931	0.689187	2.891896	1.401349	1.567441	1.648664	0.862653	0.821893	0.844009	1.571615	1.703486	1.788445	0	0	0	0	0	0	0	0	0	0.107837	0.151472	0.143417	0.063434	0	0.077714	0	0	0	1.818526	0.355039	0
MAG-378	0.40961	0.137043	0.473657	0.234596	0.263528	0.277084	0.419725	0.329477	0.366021	0.181773	0.201822	0.234068	0.014111	0.020156	0.01937	0.075863	0.100021	0.090899	0.033838	0.030904	0.033076	10.87837	10.25311	9.675206	11.852851	11.426792	11.379417	13.772029	11.442075	11.022394	0.476761	0.175602	0.147674
MAG-379	5.831303	2.791813	6.359487	3.533595	3.714094	4.057512	4.211103	3.360099	3.660743	2.998543	3.150435	3.401185	0.103981	0.10499	0.111171	0.514713	0.587305	0.599886	0.10766	0.138527	0.109842	4.556813	5.882861	5.477711	7.597815	5.670205	5.611023	2.549072	1.686041	1.561275	6.446985	1.416344	0.9135505
MAG-380	0	0	0	0	0	0	0.070626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.609889	1.079491	1.051577	12.728053	13.350517	13.070125	9.420941	8.188572	7.784515	0	0	0
MAG-381	10.019566	7.405522	10.490121	20.398537	21.532352	22.871229	29.249675	27.463351	28.888517	5.210833	5.709433	6.166715	10.220724	11.226769	11.600667	10.020397	12.434325	12.307829	0.397565	0.450198	0.396739	93.607351	32.334488	30.77036	144.850058	160.957772	159.170882	10.640997	10.014563	9.899924	5.96141	28.264013	14.020926
MAG-382	7.341167	9.787571	4.119944	2.274957	2.373581	2.465502	4.93891	5.181133	5.42053	1.831308	1.76905	1.819074	1.143101	1.35195	1.466828	8.277932	7.398481	7.664044	2.647092	2.756439	2.501994	0	0	0	0	0	0	0	0	0	7.795826	0.941275	0.706523
MAG-383	0.225656	0.170744	0.230084	0.214023	0.249177	0.234464	0.498106	0.519227	0.552253	0.245599	0.261225	0.278195	0.031886	0.048991	0.047679	0.175943	0.161379	0.177311	0.059395	0.074113	0.063464	4.473129	0.75656	0.707112	7.161931	8.099724	7.918455	5.458863	4.975231	4.625077	0.350852	0.158171	0.266927
MAG-384	3.946708	3.3651	3.037408	3.042652	2.441642	2.598623	2.780259	2.360318	2.557814	2.826111	2.792514	2.971484	0.265732	0.301113	0.324142	0.298517	0.3281375	0.325759	0.426738	0.520417	0.411394	7.3644435	6.630671	6.193952	8.681152	7.664677	7.6089695	6.732739	5.536823	5.21628	5.579926	1.252397	0.489024
MAG-385	0.158557	0.190184	0.156079	1.214001	1.2472625	1.338477	9.857282	10.1430775	10.5697905	0.934179	0.850308	0.879586	0.238613	0.220104	0.236204	3.881359	4.932074	5.133014	0.6642345	0.769473	0.701215	0.841438	0.20767	0.214777	2.105547	2.310147	2.265607	1.685224	1.492774	1.462984	0.936217	1.107496	1.73034
MAG-386	0.135439	0.078704	0.135641	0.017567	0	0.01856	0	0	0	0.066474	0.090691	0.095499	0	0	0	0.018598	0	0	10.407457	10.924204	9.477588	0.417798	0.780061	0.645007	1.537696	1.671384	1.749619	1.091453	0.957304	0.931093	0.125482	0	0
MAG-387	0.768363	0.225012	0.864886	1.836896	2.075153	2.179264	3.024422	3.630708	3.860136	2.475984	2.738143	2.797935	0	0	0.004251	0.049666	0.077861	0.089691	0.019884	0.033593	0.028557	0.134525	0.196669	0.172849	0.117984	0.097136	0.100906	0.055453	0.042959	0.040703	0.472715	0.200841	0.17858
