"SUID","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"4047","Cd2CK_egg_go_ko","WP_011288455.1|WP_093558235.1|BBG74039.1|WP_035930530.1|WP_021006548.1|WP_011633831.1|WP_012207006.1|WP_106874290.1|WP_012353056.1|RTL42036.1|PZP62061.1|WP_062188045.1|WP_010103166.1|OGP08582.1","14","0.5333333333333333","Geneset_Overlap","GO:0042026 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MURH","false","Geneset_Overlap","GO:0042026 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MURH"
"4048","Cd2CK_egg_go_ko","WP_004180305.1|WP_013744694.1|WP_014074409.1|WP_026687922.1|WP_027473956.1|WP_054018941.1|ODU92658.1|PKO45489.1|WP_102648302.1|WP_120215497.1|WP_124649802.1|WP_127089458.1|RYD42434.1|WP_134195739.1|TIV76374.1|WP_137099209.1|WP_032112406.1|WP_034795833.1|WP_038603978.1|WP_056240040.1|WP_057842829.1|OGA07404.1|OGI62592.1|OJY38051.1|OXS29522.1|WP_102246209.1|WP_105506304.1|WP_127860425.1|TAJ32927.1|OFZ45950.1|PKO93389.1|WP_120048763.1|RPF97242.1|WP_127255656.1|TAK83852.1|WP_133494368.1|WP_014197822.1|WP_066134479.1|OPY01703.1|WP_112381317.1|WP_135211313.1|WP_013522138.1|WP_050526234.1|WP_116499074.1|WP_008115203.1|WP_011236479.1|WP_011286192.1|WP_012207458.1|WP_015434519.1|WP_027456623.1|KFB66796.1|WP_038304811.1|WP_054124927.1|KPK18212.1|WP_056109950.1|WP_062352942.1|WP_067170571.1|OGA06426.1|OGA25275.1|WP_079434226.1|OQW42457.1|OQW82332.1|PKO36077.1|PLX71094.1|RDE50699.1|WP_119290157.1|WP_121583815.1|RTL33178.1|WP_131279024.1|WP_133857735.1|TEX44287.1|WP_135177995.1","72","0.8864864864864865","Geneset_Overlap","1MURR (Geneset_Overlap_Cd2CK_egg_go_ko) K04077","false","Geneset_Overlap","1MURR (Geneset_Overlap_Cd2CK_egg_go_ko) K04077"
"4049","Cd2CK_egg_go_ko","WP_054965449.1|WP_026685578.1|WP_012585584.1|WP_027457638.1|OJY87033.1|OGV72118.1|WP_110400737.1|WP_096450825.1|WP_094267261.1|WP_095195086.1|RTL04036.1|WP_015433959.1|WP_028994809.1|WP_021249830.1|WP_117609637.1|WP_068608689.1|WP_093358733.1|WP_079435464.1|WP_121457220.1|WP_027457213.1|WP_042414725.1|STP13002.1","22","0.3113384484228474","Geneset_Overlap","GO:0051539 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0043546","false","Geneset_Overlap","GO:0051539 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0043546"
"4050","Cd2CK_egg_go_ko","WP_054965449.1|ODS71062.1|WP_012585584.1|OJY87033.1|OGV72118.1|RTL04036.1|WP_028994809.1|WP_056197883.1|ODS95854.1|WP_043820335.1|WP_124220621.1|WP_055423062.1|WP_010463004.1|WP_027457213.1|RTL46920.1|WP_090018893.1","16","0.6244343891402715","Geneset_Overlap","GO:0043546 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MW9S","false","Geneset_Overlap","GO:0043546 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MW9S"
"4051","Cd2CK_egg_go_ko","KFB69210.1|KLT21213.1|ODS73451.1|PKO26120.1|WP_014235482.1|WP_067758259.1|OYZ55106.1|WP_106825664.1|TAG83693.1|WP_061498192.1|OIP11335.1|WP_012695740.1|WP_136555888.1|WP_108427913.1|WP_004343146.1|WP_012202327.1|WP_016453856.1|ALD91789.1|WP_076604510.1|PKO29730.1|WP_108949537.1|TEX49225.1","22","0.5621468926553672","Geneset_Overlap","2VI3Q (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0003746","false","Geneset_Overlap","2VI3Q (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0003746"
"4052","Cd2CK_egg_go_ko","EXI73901.1|WP_119964852.1|WP_133588295.1|WP_018151794.1|OGA45015.1|OIP10440.1|RMG33618.1|ACF98171.1|ODU56528.1|WP_013029265.1|CAI06598.1|WP_004301737.1|EXI86426.1|EXI90076.1|WP_027459187.1|KFB69436.1|WP_056876288.1|WP_057674903.1|OHC61306.1|OHC64126.1|WP_076096509.1|WP_079435145.1|WP_086912295.1|PKO56461.1|WP_108977384.1|WP_116534872.1|WP_119107391.1|RIX44719.1|TAK48549.1|TEX48909.1","30","0.7051282051282051","Geneset_Overlap","K15864 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VHSF","false","Geneset_Overlap","K15864 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VHSF"
"4053","Cd2CK_egg_go_ko","WP_013205653.1|KFB75157.1|WP_012696015.1|WP_020226911.1|KFB72264.1|WP_038208697.1|RIK98775.1|TBR08464.1|WP_010102649.1|KPK35597.1|BAV98364.1|OYY44609.1|WP_071662197.1|WP_082025606.1|WP_014238062.1|WP_015436667.1|WP_027456251.1|WP_069039992.1|WP_079433619.1|WP_096452407.1|WP_117609321.1","21","0.9772727272727273","Geneset_Overlap","K00333 (Geneset_Overlap_Cd2CK_egg_go_ko) COG0649","false","Geneset_Overlap","K00333 (Geneset_Overlap_Cd2CK_egg_go_ko) COG0649"
"4054","Cd2CK_egg_go_ko","OJW35049.1","1","0.018208399787347156","Geneset_Overlap","K15726 (Geneset_Overlap_Cd2CK_egg_go_ko) COG1538","false","Geneset_Overlap","K15726 (Geneset_Overlap_Cd2CK_egg_go_ko) COG1538"
"4055","Cd2CK_egg_go_ko","WP_013804444.1|WP_096449278.1|RTL34219.1|WP_027456663.1|EXI90846.1|KFB78314.1|OFZ98106.1|WP_099407143.1|PKO26483.1|RIX49058.1|WP_004298446.1|WP_015437569.1|WP_035933059.1|WP_106748024.1|RTL23085.1|RZI44886.1|WP_090319415.1","17","0.9722222222222222","Geneset_Overlap","K02933 (Geneset_Overlap_Cd2CK_egg_go_ko) 1R9YZ","false","Geneset_Overlap","K02933 (Geneset_Overlap_Cd2CK_egg_go_ko) 1R9YZ"
"4056","Cd2CK_egg_go_ko","OYZ55106.1","1","0.015111111111111112","Geneset_Overlap","GO:0015935 (Geneset_Overlap_Cd2CK_egg_go_ko) COG0480","false","Geneset_Overlap","GO:0015935 (Geneset_Overlap_Cd2CK_egg_go_ko) COG0480"
